frame,stamp_s,ey_m,epsi_rad,lane_width_m,paired,n_lines,confidence,reason
000166.png,1787057828.169,0.03461,-0.03790,0.22100,1,2,0.917,ok
000167.png,1787057828.418,0.02941,-0.03391,0.22784,1,2,0.979,ok
000168.png,1787057828.618,0.02928,-0.03800,0.22617,1,2,0.917,ok
000169.png,1787057828.818,0.02972,-0.03176,0.22056,1,2,0.917,ok
000170.png,1787057829.019,0.02893,-0.03551,0.21948,1,2,0.979,ok
000171.png,1787057829.218,0.02115,-0.03757,0.23301,1,2,0.917,ok
000172.png,1787057829.418,0.02024,-0.04633,0.23140,1,2,1.000,ok
000173.png,1787057829.669,0.02343,-0.05329,0.22246,1,2,1.000,ok
000174.png,1787057829.868,0.01408,-0.05820,0.23719,1,2,0.979,ok
000175.png,1787057830.069,0.01261,-0.06181,0.23704,1,2,1.000,ok
000176.png,1787057830.269,0.01488,-0.05877,0.23276,1,2,0.958,ok
000177.png,1787057830.518,0.01242,-0.06028,0.23500,1,2,0.938,ok
000178.png,1787057830.719,0.01154,-0.06553,0.23401,1,2,0.917,ok
000179.png,1787057830.918,0.00821,-0.06402,0.23999,1,2,0.958,ok
000180.png,1787057831.118,-0.00682,-0.06851,0.26789,1,2,0.938,ok
000181.png,1787057831.319,0.01741,-0.06548,0.21708,1,2,0.958,ok
000182.png,1787057831.518,0.00515,-0.06755,0.24108,1,2,0.958,ok
000183.png,1787057831.718,0.01214,-0.06976,0.22577,1,3,0.938,ok
000184.png,1787057831.919,-0.00007,-0.07266,0.24790,1,2,0.896,ok
000185.png,1787057832.169,0.00740,-0.07550,0.23231,1,2,0.917,ok
000186.png,1787057832.369,-0.01575,-0.08169,0.27500,1,3,0.875,ok
000187.png,1787057832.568,-0.02093,-0.08636,0.28221,1,3,0.917,ok
000188.png,1787057832.769,-0.02266,-0.08959,0.28543,1,2,0.896,ok
000189.png,1787057833.019,-0.02035,-0.08003,0.27916,1,2,0.854,ok
000190.png,1787057833.218,-0.02635,-0.08457,0.28553,1,3,0.917,ok
000191.png,1787057833.371,-0.02471,-0.08359,0.28289,1,2,0.917,ok
000192.png,1787057833.619,-0.01850,-0.10033,0.26680,1,2,0.896,ok
000193.png,1787057833.819,-0.02607,-0.10217,0.27836,1,2,0.958,ok
000194.png,1787057833.969,-0.02499,-0.10210,0.27540,1,2,0.938,ok
000195.png,1787057834.219,-0.03076,-0.10342,0.28291,1,2,0.917,ok
000196.png,1787057834.319,-0.03302,-0.11917,0.28634,1,2,0.896,ok
000197.png,1787057834.668,-0.02524,-0.10310,0.26847,1,2,0.938,ok
000198.png,1787057834.818,-0.03990,-0.10604,0.29400,1,2,0.917,ok
000199.png,1787057835.068,-0.04387,-0.02485,0.30098,1,2,0.896,ok
000200.png,1787057835.268,-0.03950,-0.02631,0.28824,1,2,0.979,ok
000201.png,1787057835.469,-0.03863,-0.12081,0.28108,1,2,0.875,ok
000202.png,1787057835.668,-0.04794,-0.12424,0.29733,1,2,0.958,ok
000203.png,1787057835.869,-0.05561,-0.03350,0.31144,1,2,0.854,ok
000204.png,1787057836.119,-0.03242,-0.03737,0.26414,1,3,0.812,ok
000205.png,1787057836.519,-0.49225,0.72468,0.19851,1,3,0.375,ok
000206.png,1787057836.919,-0.15685,0.03258,0.21957,1,3,0.354,ok
000207.png,1787057837.118,-0.06932,-0.03680,0.32645,1,2,0.854,ok
000208.png,1787057837.519,-0.05009,-0.07942,0.25392,1,3,0.646,ok
000209.png,1787057837.769,-0.08796,-0.27872,0.22481,1,3,0.312,ok
000210.png,1787057837.969,-0.19481,0.03797,0.26958,1,3,0.333,ok
000211.png,1787057838.169,-0.17558,-0.01122,0.24641,1,3,0.292,ok
000212.png,1787057838.370,-0.07711,-0.32296,0.21547,1,3,0.250,ok
000213.png,1787057838.569,-0.03232,-0.04964,0.21181,1,3,0.667,ok
000214.png,1787057838.818,-0.07877,-0.30885,0.26741,1,3,0.333,ok
000215.png,1787057839.219,-0.07243,-0.05549,0.27777,1,3,0.646,ok
000216.png,1787057839.419,-0.10068,-0.24293,0.21545,1,3,0.292,ok
000217.png,1787057839.620,-0.07025,-0.05521,0.26544,1,3,0.625,ok
000218.png,1787057839.869,-0.06397,-0.05736,0.24157,1,3,0.583,ok
000219.png,1787057840.069,-0.06197,-0.06164,0.23232,1,3,0.583,ok
000220.png,1787057840.219,-0.04574,-0.41174,0.17189,1,3,0.292,ok
000221.png,1787057840.368,-0.05810,-0.06314,0.21708,1,3,0.625,ok
000222.png,1787057840.718,-0.08207,-0.07131,0.25882,1,3,0.562,ok
000223.png,1787057840.919,-0.05124,-0.07412,0.18856,1,3,0.583,ok
000224.png,1787057841.119,-0.05242,-0.07600,0.18883,1,3,0.542,ok
000225.png,1787057841.519,-0.08564,-0.08096,0.23814,1,3,0.458,ok
000226.png,1787057841.720,-0.04492,-0.07119,0.15028,1,3,0.500,ok
000227.png,1787057842.369,-0.10630,-0.28272,0.18960,1,3,0.312,ok
000228.png,1787057842.569,-0.11927,-0.25285,0.16645,1,3,0.229,ok
000229.png,1787057843.019,-0.12971,-0.23077,0.15262,1,3,0.188,ok
000230.png,1787057858.219,-0.12013,-0.24989,0.18894,1,3,0.188,ok
000231.png,1787057858.619,-0.11103,-0.26711,0.19128,1,3,0.167,ok
000232.png,1787057858.869,-0.13099,-0.20954,0.14586,1,3,0.188,ok
000233.png,1787057859.518,-0.11916,-0.21828,0.15432,1,3,0.229,ok
000234.png,1787057859.719,-0.10379,-0.25907,0.16520,1,3,0.250,ok
000235.png,1787057860.319,-0.10390,-0.25041,0.17155,1,3,0.250,ok
000236.png,1787057860.519,-0.08241,-0.04427,0.22129,1,3,0.500,ok
000237.png,1787057860.969,-0.10267,-0.24104,0.15764,1,3,0.229,ok
000238.png,1787057861.169,-0.10041,-0.24164,0.16316,1,3,0.229,ok
000239.png,1787057861.569,-0.05256,-0.03972,0.18336,1,3,0.604,ok
000240.png,1787057861.769,-0.10942,-0.22276,0.14249,1,3,0.208,ok
000241.png,1787057861.969,-0.08361,-0.28083,0.19822,1,3,0.188,ok
000242.png,1787057862.369,-0.05017,-0.03670,0.19238,1,3,0.583,ok
000243.png,1787057862.770,-0.04240,-0.03444,0.18710,1,3,0.625,ok
000244.png,1787057863.218,-0.10162,-0.21788,0.17538,1,3,0.250,ok
000245.png,1787057863.419,-0.04378,-0.03276,0.20089,1,3,0.667,ok
000246.png,1787057863.869,-0.04739,-0.02513,0.21744,1,3,0.688,ok
000247.png,1787057864.069,-0.07896,-0.30052,0.16102,1,3,0.417,ok
000248.png,1787057864.269,-0.04880,-0.02272,0.22468,1,3,0.708,ok
000249.png,1787057864.469,-0.03346,-0.02282,0.19617,1,3,0.750,ok
000250.png,1787057864.669,-0.04923,-0.02653,0.23194,1,3,0.708,ok
000251.png,1787057864.868,-0.03391,-0.02265,0.20496,1,3,0.729,ok
000252.png,1787057865.118,-0.09142,-0.02414,0.32786,1,2,0.854,ok
000253.png,1787057865.319,-0.04013,-0.02227,0.23035,1,3,0.729,ok
000254.png,1787057865.719,-0.07144,-0.02755,0.32110,1,3,0.604,ok
000255.png,1787057866.318,-0.04377,-0.00756,0.28269,1,4,0.583,ok
000256.png,1787057866.519,-0.06526,-0.00535,0.32673,1,2,0.854,ok
000257.png,1787057867.168,-0.05493,0.00204,0.31352,1,3,0.792,ok
000258.png,1787057867.569,-0.04692,-0.10773,0.30206,1,2,0.938,ok
000259.png,1787057867.768,-0.03164,-0.09605,0.27746,1,2,0.854,ok
000260.png,1787057867.969,-0.04995,0.00209,0.31720,1,2,0.875,ok
000261.png,1787057868.168,-0.02297,-0.09457,0.26565,1,2,0.875,ok
000262.png,1787057868.418,-0.02986,-0.09597,0.29162,1,2,0.896,ok
000263.png,1787057868.619,-0.02069,-0.08585,0.27624,1,2,0.938,ok
000264.png,1787057868.819,-0.01322,-0.07980,0.26496,1,2,0.958,ok
000265.png,1787057869.019,-0.00595,-0.08552,0.26156,1,2,0.958,ok
000266.png,1787057869.219,-0.00295,-0.08446,0.25944,1,2,0.917,ok
000267.png,1787057869.469,-0.00962,-0.08025,0.27543,1,3,0.833,ok
000268.png,1787057869.669,-0.00765,-0.07491,0.27726,1,2,0.917,ok
000269.png,1787057869.869,0.00359,-0.06782,0.26264,1,2,0.917,ok
000270.png,1787057870.069,0.01784,-0.05710,0.24074,1,3,0.938,ok
000271.png,1787057870.269,0.01718,-0.05952,0.24705,1,3,0.917,ok
000272.png,1787057870.469,0.02421,-0.04802,0.23280,1,3,0.917,ok
000273.png,1787057870.718,0.02593,-0.03423,0.23035,1,3,0.917,ok
000274.png,1787057870.918,0.03137,-0.04324,0.22900,1,3,0.854,ok
000275.png,1787057871.118,0.03273,-0.03006,0.22913,1,3,0.896,ok
000276.png,1787057871.318,0.03507,-0.02090,0.22533,1,3,0.875,ok
000277.png,1787057871.519,0.03341,-0.01968,0.23919,1,3,0.854,ok
000278.png,1787057871.769,0.03982,0.01054,0.22736,1,2,0.771,ok
000279.png,1787057871.969,0.04314,0.02830,0.22535,1,3,0.771,ok
000280.png,1787057872.168,0.05134,-0.11010,0.21870,1,2,0.771,ok
000281.png,1787057872.369,0.04923,0.01535,0.21799,1,3,0.708,ok
000282.png,1787057872.619,0.05601,0.03256,0.21118,1,4,0.333,ok
000283.png,1787057872.819,0.08324,-0.08678,0.16033,1,4,0.333,ok
000284.png,1787057873.019,0.07436,0.14094,0.17938,1,4,0.375,ok
000285.png,1787057873.218,0.06370,-0.07774,0.20548,1,4,0.583,ok
000286.png,1787057873.420,0.06454,0.04598,0.20427,1,4,0.333,ok
000287.png,1787057873.669,0.05451,-0.07467,0.17528,1,4,0.458,ok
000288.png,1787057873.869,0.05430,-0.07269,0.17251,1,4,0.479,ok
000289.png,1787057874.069,0.08778,-0.08005,0.16554,1,4,0.333,ok
000290.png,1787057874.268,0.07089,-0.06966,0.20104,1,4,0.604,ok
000291.png,1787057874.518,0.09896,-0.10171,0.14832,1,4,0.333,ok
000292.png,1787057874.718,0.09400,-0.09408,0.15972,1,4,0.312,ok
000293.png,1787057874.919,0.07580,-0.06690,0.19612,1,4,0.562,ok
000294.png,1787057875.119,0.09316,-0.08618,0.16745,1,4,0.312,ok
000295.png,1787057875.318,0.07924,-0.06537,0.19746,1,4,0.542,ok
000296.png,1787057875.519,0.08117,-0.06302,0.20019,1,4,0.521,ok
000297.png,1787057875.769,0.05715,-0.05760,0.15152,1,4,0.479,ok
000298.png,1787057875.969,0.07913,-0.06546,0.19488,1,4,0.542,ok
000299.png,1787057876.169,0.05763,-0.06100,0.15601,1,4,0.500,ok
000300.png,1787057876.368,0.05885,-0.07775,0.15824,1,4,0.458,ok
000301.png,1787057876.569,0.07752,0.03858,0.19680,1,4,0.312,ok
000302.png,1787057876.769,0.07529,-0.05758,0.19624,1,4,0.583,ok
000303.png,1787057876.969,0.07501,-0.05971,0.19528,1,3,0.542,ok
000304.png,1787057877.219,0.08518,-0.09957,0.17533,1,4,0.333,ok
000305.png,1787057877.418,0.05268,-0.07657,0.15400,1,4,0.458,ok
000306.png,1787057877.618,0.07168,0.02604,0.19553,1,4,0.604,ok
000307.png,1787057877.818,-0.11107,-0.08336,0.16716,1,4,0.479,ok
000308.png,1787057878.068,-0.11525,-0.08290,0.17208,1,4,0.458,ok
000309.png,1787057878.269,0.06982,0.02200,0.19689,1,4,0.604,ok
000310.png,1787057878.468,0.09297,0.12334,0.14994,1,4,0.375,ok
000311.png,1787057878.669,0.06847,0.01012,0.19539,1,4,0.625,ok
000312.png,1787057878.869,0.07853,0.09138,0.17643,1,4,0.354,ok
000313.png,1787057879.068,0.06703,0.00680,0.20551,1,4,0.333,ok
000314.png,1787057879.269,0.06647,0.00518,0.20453,1,3,0.333,ok
000315.png,1787057879.468,0.06665,0.00068,0.20503,1,4,0.312,ok
000316.png,1787057879.668,0.05887,-0.10618,0.21591,1,3,0.625,ok
000317.png,1787057879.869,0.08538,-0.10702,0.16078,1,4,0.729,ok
000318.png,1787057880.118,0.07799,-0.11097,0.16852,1,4,0.750,ok
000319.png,1787057880.318,0.07093,-0.11176,0.18587,1,3,0.792,ok
000320.png,1787057880.519,0.08205,-0.11574,0.16129,1,4,0.708,ok
000321.png,1787057880.722,0.06444,-0.11603,0.19847,1,3,0.750,ok
000322.png,1787057880.969,0.05943,0.07309,0.20683,1,4,0.354,ok
000323.png,1787057881.169,-0.07816,-0.11832,0.14876,1,3,0.604,ok
000324.png,1787057881.369,0.04375,-0.01515,0.23134,1,3,0.792,ok
000325.png,1787057881.569,0.04646,-0.01329,0.22398,1,4,0.667,ok
000326.png,1787057881.819,0.07408,-0.01182,0.17105,1,3,0.750,ok
000327.png,1787057882.020,0.04081,-0.11736,0.24474,1,2,0.708,ok
000328.png,1787057882.218,0.05978,-0.11609,0.20289,1,2,0.792,ok
000329.png,1787057882.419,0.06016,-0.01557,0.19774,1,2,0.771,ok
000330.png,1787057882.619,0.06204,-0.01573,0.19087,1,2,0.875,ok
000331.png,1787057882.819,0.06417,-0.01677,0.18625,1,3,0.875,ok
000332.png,1787057883.069,0.06221,-0.01134,0.18880,1,3,0.833,ok
000333.png,1787057883.269,0.06965,-0.12268,0.18032,1,3,0.750,ok
000334.png,1787057883.469,0.05176,-0.02600,0.21017,1,2,0.792,ok
000335.png,1787057883.669,0.05491,-0.02204,0.20498,1,2,0.812,ok
000336.png,1787057883.869,0.05686,-0.03478,0.20025,1,2,0.792,ok
000337.png,1787057884.070,0.05466,-0.02279,0.20399,1,2,0.896,ok
000338.png,1787057884.319,0.05960,-0.02713,0.19239,1,2,0.938,ok
000339.png,1787057884.519,0.04263,-0.02844,0.22519,1,2,0.729,ok
000340.png,1787057884.719,0.04521,-0.03244,0.22022,1,2,0.812,ok
000341.png,1787057884.919,0.05094,-0.02707,0.20792,1,2,0.958,ok
000342.png,1787057885.170,0.04601,-0.03830,0.21589,1,2,0.875,ok
000343.png,1787057885.369,0.05017,-0.03284,0.20610,1,2,0.917,ok
000344.png,1787057885.568,0.03894,-0.03435,0.22835,1,2,0.917,ok
000345.png,1787057885.769,0.05730,-0.03564,0.18845,1,2,0.771,ok
000346.png,1787057886.020,0.05059,-0.04314,0.20735,1,2,0.938,ok
000347.png,1787057886.219,0.04707,-0.03767,0.21109,1,2,0.896,ok
000348.png,1787057886.319,0.06951,-0.04289,0.16659,1,3,0.875,ok
000349.png,1787057886.619,0.04466,-0.04047,0.21596,1,2,0.896,ok
000350.png,1787057886.868,0.03757,-0.04342,0.22991,1,2,0.917,ok
000351.png,1787057887.069,0.04511,-0.04064,0.21381,1,2,0.979,ok
000352.png,1787057887.268,0.04419,-0.04393,0.21614,1,2,0.896,ok
