frame,stamp_s,ey_m,epsi_rad,lane_width_m,paired,n_lines,confidence,reason,line_c0_m
00065.png,1787054664.512,-0.02787,-0.00399,0.27605,1,3,0.708,ok,-0.11015;0.16589;0.26041
00066.png,1787054664.551,-0.02933,-0.00191,0.28116,1,3,0.708,ok,-0.11125;0.16991;0.26466
00067.png,1787054664.602,0.01216,-0.02227,0.19830,1,3,0.667,ok,-0.11134;0.08701;0.27867
00068.png,1787054664.656,0.00365,-0.00405,0.21510,1,3,0.667,ok,-0.11121;0.10390;0.23713
00069.png,1787054664.703,-0.03071,-0.00699,0.28240,1,3,0.667,ok,-0.11049;0.17192;0.27064
00070.png,1787054664.757,-0.03441,-0.00191,0.28996,1,3,0.646,ok,-0.11057;0.17939;0.25721
00071.png,1787054664.804,-0.03082,-0.00699,0.28338,1,3,0.667,ok,-0.11088;0.17251;0.26041
00072.png,1787054664.856,-0.02947,-0.01370,0.28131,1,3,0.667,ok,-0.11120;0.17014;0.26363
00073.png,1787054664.905,-0.02936,-0.01328,0.28071,1,3,0.667,ok,-0.11101;0.16973;0.25721
00074.png,1787054664.952,-0.03347,-0.00771,0.28967,1,3,0.667,ok,-0.11137;0.17831;0.25721
00075.png,1787054665.402,-0.03296,-0.01496,0.28767,1,3,0.646,ok,-0.11090;0.17681;0.25674
00076.png,1787054665.454,-0.02814,-0.02618,0.27771,1,3,0.708,ok,-0.11076;0.16704;0.27468
00077.png,1787054665.506,-0.02879,-0.00699,0.27982,1,3,0.667,ok,-0.11112;0.16871;0.25861
00078.png,1787054665.555,-0.06565,-0.07139,0.21258,1,4,0.354,ok,-0.11104;-0.04091;0.17222;0.26342
00079.png,1787054665.603,0.00506,-0.00862,0.21120,1,3,0.667,ok,-0.11066;0.10055;0.26498
00080.png,1787054665.654,0.01521,-0.00825,0.19167,1,3,0.646,ok,-0.11105;0.08064;0.25721
00081.png,1787054665.752,-0.02976,-0.00810,0.28171,1,3,0.667,ok,-0.11110;0.17062;0.26041
00082.png,1787054665.802,-0.02883,-0.02583,0.28036,1,3,0.708,ok,-0.11140;0.16906;0.25721
00083.png,1787054665.854,-0.01416,-0.01009,0.25055,1,3,0.729,ok,-0.11112;0.13944;0.26053
00084.png,1787054665.905,0.01273,-0.02256,0.19728,1,3,0.667,ok,-0.11140;0.08593;0.25986
00085.png,1787054665.951,-0.02961,-0.01540,0.28135,1,3,0.667,ok,-0.11109;0.17030;0.26306
00086.png,1787054666.002,-0.02935,-0.00123,0.28083,1,3,0.667,ok,-0.11106;0.16976;0.25262
00087.png,1787054666.158,-0.02742,-0.00879,0.27761,1,3,0.667,ok,-0.11139;0.16623;0.25986
00088.png,1787054666.351,0.01130,-0.00850,0.20008,1,3,0.667,ok,-0.11134;0.08875;0.24860
00089.png,1787054666.403,0.01519,-0.00726,0.19230,1,3,0.646,ok,-0.11134;0.08096;0.26798
00090.png,1787054666.552,-0.02997,-0.01360,0.28189,1,3,0.688,ok,-0.11099;0.17093;0.26263
00091.png,1787054666.602,-0.01415,-0.00908,0.25018,1,3,0.708,ok,-0.11095;0.13924;0.25674
00092.png,1787054666.651,-0.02704,-0.03457,0.27662,1,3,0.667,ok,-0.11135;0.16544;0.26088
00093.png,1787054666.701,-0.02960,-0.01034,0.28205,1,3,0.708,ok,-0.11143;0.17063;0.25679
00094.png,1787054666.751,-0.03334,-0.01138,0.28939,1,3,0.688,ok,-0.11137;0.17804;0.26445
00095.png,1787054666.802,-0.02949,-0.00726,0.28174,1,3,0.688,ok,-0.11138;0.17037;0.25402
00096.png,1787054666.901,-0.02984,-0.02048,0.28206,1,3,0.688,ok,-0.11123;0.17090;0.26126
00097.png,1787054666.951,-0.03330,-0.00171,0.28897,1,3,0.667,ok,-0.11119;0.17778;0.25721
00098.png,1787054667.003,-0.03429,-0.00682,0.29121,1,2,0.667,ok,-0.11132;0.17990
00099.png,1787054667.052,-0.03201,-0.00191,0.28517,1,3,0.625,ok,-0.11057;0.17460;0.25721
00100.png,1787054667.101,-0.02781,-0.02030,0.27727,1,3,0.688,ok,-0.11085;0.16647;0.26564
00101.png,1787054667.151,-0.02977,-0.01593,0.28197,1,3,0.688,ok,-0.11123;0.17078;0.26503
00102.png,1787054667.204,-0.03397,-0.00961,0.28902,1,3,0.667,ok,-0.11055;0.17848;0.25948
00103.png,1787054667.301,-0.02979,-0.00862,0.28068,1,3,0.667,ok,-0.11055;0.17014;0.27853
00104.png,1787054667.353,-0.02838,-0.00835,0.27889,1,3,0.667,ok,-0.11107;0.16783;0.25948
00105.png,1787054667.403,0.01494,-0.00862,0.19279,1,3,0.646,ok,-0.11134;0.08146;0.23994
00106.png,1787054667.503,-0.03327,-0.00726,0.28908,1,3,0.667,ok,-0.11127;0.17782;0.26429
00107.png,1787054667.553,-0.02970,-0.00216,0.28156,1,3,0.667,ok,-0.11108;0.17048;0.23811
00108.png,1787054667.603,0.01585,-0.01994,0.19069,1,3,0.688,ok,-0.11122;0.07952;0.25919
00109.png,1787054667.702,-0.03154,-0.01109,0.28616,1,3,0.688,ok,-0.11155;0.17463;0.25986
00110.png,1787054667.854,0.01677,-0.01544,0.18921,1,3,0.646,ok,-0.11139;0.07785;0.27867
00111.png,1787054667.904,-0.03308,0.00267,0.28679,1,3,0.667,ok,-0.11031;0.17647;0.25973
00112.png,1787054667.952,-0.00627,-0.01588,0.23530,1,3,0.708,ok,-0.11140;0.12393;0.25721
00113.png,1787054668.003,-0.02863,-0.00862,0.27917,1,3,0.708,ok,-0.11096;0.16822;0.26306
00114.png,1787054668.153,-0.03010,-0.00862,0.28151,1,3,0.688,ok,-0.11066;0.17087;0.25986
00115.png,1787054668.201,-0.02986,-0.01065,0.28286,1,3,0.708,ok,-0.11157;0.17130;0.26263
00116.png,1787054668.252,0.00555,-0.00906,0.21137,1,3,0.646,ok,-0.11124;0.10014;0.25986
00117.png,1787054668.302,-0.03407,-0.00164,0.29063,1,3,0.667,ok,-0.11125;0.17938;0.25733
00118.png,1787054668.352,-0.02839,-0.01496,0.27911,1,3,0.667,ok,-0.11118;0.16797;0.25999
00119.png,1787054668.404,-0.02965,-0.01595,0.28104,1,3,0.646,ok,-0.11089;0.17018;0.25989
00120.png,1787054668.602,-0.03618,-0.00475,0.29469,1,3,0.688,ok,-0.11116;0.18353;0.26306
00121.png,1787054668.753,-0.02951,-0.01261,0.28099,1,3,0.688,ok,-0.11099;0.17002;0.26041
00122.png,1787054668.806,-0.03794,-0.01496,0.29781,1,3,0.667,ok,-0.11098;0.18686;0.25948
00123.png,1787054668.854,-0.06569,-0.05500,0.20717,1,4,0.354,ok,-0.11145;-0.03806;0.16943;0.25919
00124.png,1787054669.002,0.01413,-0.02578,0.19499,1,3,0.708,ok,-0.11165;0.08340;0.25733
00125.png,1787054669.053,-0.02968,-0.02063,0.28148,1,3,0.708,ok,-0.11110;0.17045;0.27463
00126.png,1787054669.201,-0.03341,-0.00191,0.28964,1,3,0.646,ok,-0.11141;0.17823;0.26558
00127.png,1787054669.353,-0.03246,-0.00371,0.28662,1,3,0.646,ok,-0.11085;0.17577;0.25721
00128.png,1787054669.404,-0.03057,-0.01598,0.28134,1,3,0.708,ok,-0.11012;0.17126;0.27150
00129.png,1787054669.451,-0.03170,-0.01476,0.28576,1,2,0.646,ok,-0.11120;0.17460
00130.png,1787054669.501,-0.05908,-0.04185,0.21933,1,4,0.375,ok,-0.11042;-0.05068;0.16884;0.25986
00131.png,1787054669.551,-0.03244,-0.00986,0.28738,1,3,0.646,ok,-0.11125;0.17614;0.24714
00132.png,1787054669.601,-0.02936,-0.00850,0.28102,1,3,0.667,ok,-0.11116;0.16988;0.23707
00133.png,1787054669.651,-0.02915,-0.00751,0.28015,1,3,0.646,ok,-0.11092;0.16923;0.24860
00134.png,1787054669.702,0.01515,-0.00216,0.19245,1,3,0.646,ok,-0.11138;0.08107;0.25721
00135.png,1787054669.751,-0.03292,-0.00726,0.28712,1,3,0.646,ok,-0.11064;0.17649;0.25986
00136.png,1787054669.803,-0.03711,-0.00735,0.29574,1,3,0.708,ok,-0.11077;0.18498;0.26126
00137.png,1787054669.952,-0.03222,-0.02101,0.28569,1,3,0.688,ok,-0.11066;0.17510;0.25986
00138.png,1787054670.001,-0.02907,-0.00726,0.27942,1,3,0.667,ok,-0.11064;0.16879;0.25989
00139.png,1787054670.051,-0.02815,-0.00191,0.27740,1,3,0.667,ok,-0.11055;0.16685;0.25986
00140.png,1787054670.102,-0.03211,-0.00862,0.28645,1,3,0.667,ok,-0.11112;0.17534;0.26571
00141.png,1787054670.151,-0.02794,-0.03308,0.27826,1,3,0.708,ok,-0.11127;0.16715;0.25721
00142.png,1787054670.201,-0.02838,-0.00327,0.27947,1,3,0.667,ok,-0.11136;0.16811;0.26306
00143.png,1787054670.305,-0.02895,0.01154,0.28071,1,3,0.646,ok,-0.11141;0.16932;0.24860
00144.png,1787054670.359,-0.02837,0.01253,0.27874,1,3,0.646,ok,-0.11101;0.16775;0.24860
00145.png,1787054670.403,-0.02901,-0.00282,0.28018,1,2,0.667,ok,-0.11108;0.16910
00146.png,1787054670.451,-0.01384,-0.00825,0.25011,1,3,0.708,ok,-0.11122;0.13890;0.25986
00147.png,1787054670.551,-0.03664,-0.02007,0.29571,1,3,0.708,ok,-0.11125;0.18453;0.24860
00148.png,1787054670.604,-0.02802,-0.00475,0.27795,1,3,0.667,ok,-0.11096;0.16700;0.25721
00149.png,1787054670.652,0.00380,-0.00327,0.21362,1,3,0.667,ok,-0.11061;0.10301;0.28170
00150.png,1787054670.704,-0.03021,-0.01763,0.27904,1,3,0.708,ok,-0.10933;0.16976;0.25402
00151.png,1787054670.751,0.01537,-0.02767,0.19155,1,3,0.688,ok,-0.11118;0.08045;0.25986
00152.png,1787054670.801,-0.03084,-0.00345,0.28340,1,3,0.688,ok,-0.11086;0.17254;0.26665
00153.png,1787054670.852,-0.03074,-0.01868,0.28336,1,3,0.688,ok,-0.11097;0.17244;0.25674
00154.png,1787054670.902,-0.03005,0.03512,0.28109,1,2,0.646,ok,-0.11058;0.17068
00155.png,1787054670.952,0.01874,0.02829,0.18341,1,3,0.604,ok,-0.11048;0.07300;0.25986
00156.png,1787054671.005,-0.02819,0.01184,0.27883,1,3,0.646,ok,-0.11123;0.16762;0.25948
00157.png,1787054671.052,-0.03039,-0.01451,0.28121,1,3,0.688,ok,-0.11023;0.17100;0.25948
00158.png,1787054671.102,-0.03472,-0.01496,0.29097,1,3,0.667,ok,-0.11079;0.18022;0.26798
00159.png,1787054671.151,-0.03903,-0.01405,0.29941,1,3,0.646,ok,-0.11070;0.18875;0.27678
00160.png,1787054671.302,-0.02721,-0.02469,0.27562,1,3,0.688,ok,-0.11064;0.16506;0.25402
00161.png,1787054671.351,-0.02759,-0.00191,0.27877,1,3,0.667,ok,-0.11179;0.16698;0.27463
00162.png,1787054671.401,-0.03053,-0.01239,0.28277,1,3,0.667,ok,-0.11087;0.17192;0.26666
00163.png,1787054671.451,-0.02714,0.01269,0.27773,1,3,0.688,ok,-0.11174;0.16601;0.27125
00164.png,1787054671.501,0.01589,-0.00751,0.19092,1,3,0.646,ok,-0.11135;0.07957;0.27156
00165.png,1787054671.551,-0.06469,-0.05500,0.21336,1,4,0.354,ok,-0.11090;-0.04215;0.17153;0.25421
00166.png,1787054671.652,0.01703,-0.01360,0.18722,1,3,0.667,ok,-0.11065;0.07659;0.26263
00167.png,1787054671.702,-0.03021,0.01830,0.28123,1,3,0.688,ok,-0.11043;0.17085;0.26798
00168.png,1787054671.752,-0.03337,-0.01089,0.28987,1,3,0.688,ok,-0.11157;0.17832;0.25948
00169.png,1787054671.851,-0.01400,-0.01595,0.25021,1,3,0.688,ok,-0.11112;0.13912;0.26319
00170.png,1787054671.901,-0.02795,-0.00751,0.27835,1,3,0.667,ok,-0.11123;0.16713;0.26571
00171.png,1787054671.951,-0.02777,-0.01261,0.27779,1,3,0.667,ok,-0.11114;0.16668;0.27463
00172.png,1787054672.002,-0.03050,-0.01496,0.28321,1,3,0.667,ok,-0.11112;0.17212;0.25986
00173.png,1787054672.051,-0.03370,-0.00432,0.28840,1,3,0.667,ok,-0.11050;0.17790;0.25674
00174.png,1787054672.101,-0.02978,-0.00302,0.28133,1,3,0.688,ok,-0.11088;0.17045;0.25948
00175.png,1787054672.151,-0.03408,-0.02130,0.29036,1,3,0.646,ok,-0.11114;0.17929;0.25721
00176.png,1787054672.201,-0.02802,-0.02034,0.27730,1,3,0.708,ok,-0.11066;0.16670;0.26088
00177.png,1787054672.251,-0.00718,-0.00906,0.23578,1,3,0.667,ok,-0.11072;0.12507;0.26432
00178.png,1787054672.301,-0.00684,-0.00835,0.23524,1,3,0.688,ok,-0.11079;0.12447;0.25721
00179.png,1787054672.451,-0.02907,0.00138,0.28164,1,3,0.688,ok,-0.11175;0.16989;0.25948
00180.png,1787054672.501,-0.06232,-0.04234,0.21651,1,4,0.354,ok,-0.11134;-0.04603;0.17067;0.26263
00181.png,1787054672.551,-0.02796,-0.01005,0.27802,1,2,0.688,ok,-0.11106;0.16698
00182.png,1787054672.601,-0.01430,-0.00327,0.25017,1,3,0.688,ok,-0.11079;0.13939;0.24860
00183.png,1787054672.651,-0.01948,-0.01009,0.26034,1,3,0.688,ok,-0.11070;0.14965;0.27064
00184.png,1787054672.702,0.00316,-0.02494,0.21681,1,3,0.708,ok,-0.11160;0.10527;0.26041
00185.png,1787054672.754,-0.06359,-0.05500,0.22818,1,4,0.333,ok,-0.10991;-0.05068;0.17785;0.26823
00186.png,1787054672.801,-0.03242,0.00192,0.28516,1,3,0.688,ok,-0.11016;0.17500;0.25861
00187.png,1787054672.851,-0.02826,-0.02183,0.27775,1,3,0.688,ok,-0.11065;0.16717;0.26306
00188.png,1787054672.901,-0.02996,-0.00327,0.28212,1,3,0.667,ok,-0.11110;0.17102;0.25861
00189.png,1787054673.001,-0.03043,-0.00191,0.28347,1,3,0.688,ok,-0.11131;0.17217;0.25986
00190.png,1787054673.051,-0.02889,-0.01504,0.28016,1,3,0.667,ok,-0.11120;0.16899;0.26041
00191.png,1787054673.101,0.01529,-0.01496,0.19071,1,3,0.646,ok,-0.11066;0.08008;0.25986
00192.png,1787054673.152,-0.02903,-0.00300,0.28010,1,3,0.688,ok,-0.11102;0.16908;0.25986
00193.png,1787054673.202,-0.06129,-0.05500,0.22746,1,4,0.312,ok,-0.11112;-0.05261;0.17519;0.25413
00194.png,1787054673.252,0.01595,-0.00083,0.18983,1,3,0.708,ok,-0.11087;0.07897;0.25158
00195.png,1787054673.302,-0.03282,-0.00726,0.28856,1,3,0.667,ok,-0.11147;0.17710;0.25986
00196.png,1787054673.352,-0.03464,-0.00825,0.29097,1,3,0.646,ok,-0.11085;0.18014;0.26041
00197.png,1787054673.403,-0.02815,-0.00726,0.27814,1,3,0.646,ok,-0.11092;0.16722;0.26306
00198.png,1787054673.452,0.01661,0.00202,0.18896,1,3,0.646,ok,-0.11109;0.07787;0.25082
00199.png,1787054673.502,-0.02816,0.01260,0.27867,1,3,0.688,ok,-0.11119;0.16750;0.26798
00200.png,1787054673.603,-0.03390,-0.00850,0.28908,1,3,0.667,ok,-0.11064;0.17845;0.24914
00201.png,1787054673.653,-0.02864,-0.00419,0.27985,1,3,0.667,ok,-0.11129;0.16857;0.25973
00202.png,1787054673.701,-0.02939,-0.01422,0.27941,1,3,0.708,ok,-0.11032;0.16911;0.25413
00203.png,1787054673.751,-0.02994,-0.01165,0.28206,1,3,0.688,ok,-0.11110;0.17099;0.25999
00204.png,1787054673.804,-0.02945,-0.00986,0.28114,1,3,0.667,ok,-0.11112;0.17003;0.27463
00205.png,1787054673.852,-0.06206,-0.04433,0.22913,1,4,0.333,ok,-0.11112;-0.05261;0.17674;0.25948
00206.png,1787054673.952,-0.03129,-0.00327,0.28370,1,3,0.667,ok,-0.11055;0.17314;0.24860
00207.png,1787054674.003,-0.03078,-0.00327,0.28404,1,3,0.667,ok,-0.11125;0.17280;0.27468
00208.png,1787054674.151,-0.02900,-0.01127,0.27977,1,3,0.688,ok,-0.11089;0.16890;0.26180
00209.png,1787054674.252,-0.03429,0.00169,0.28779,1,3,0.646,ok,-0.10961;0.17818;0.26292
00210.png,1787054674.301,-0.03263,-0.01396,0.28645,1,3,0.646,ok,-0.11061;0.17588;0.25986
00211.png,1787054674.451,-0.02817,-0.02955,0.27870,1,3,0.688,ok,-0.11125;0.16758;0.26088
00212.png,1787054674.601,-0.02776,-0.00327,0.27776,1,3,0.646,ok,-0.11112;0.16664;0.26823
00213.png,1787054674.651,0.01205,-0.01895,0.19814,1,3,0.667,ok,-0.11114;0.08704;0.26798
00214.png,1787054674.701,-0.02540,0.01157,0.27411,1,2,0.646,ok,-0.11167;0.16246
00215.png,1787054674.752,-0.06070,-0.00157,0.21266,1,3,0.354,ok,-0.11045;-0.04563;0.16704
00216.png,1787054674.952,-0.02872,0.00175,0.27973,1,3,0.667,ok,-0.11115;0.16858;0.26263
00217.png,1787054675.101,-0.03834,-0.00191,0.29756,1,3,0.688,ok,-0.11044;0.18712;0.26041
00218.png,1787054675.252,-0.03016,-0.00717,0.28220,1,3,0.708,ok,-0.11095;0.17126;0.25667
00219.png,1787054675.351,-0.03245,-0.01451,0.28724,1,3,0.646,ok,-0.11119;0.17608;0.26126
00220.png,1787054675.603,-0.02897,-0.02183,0.28049,1,3,0.688,ok,-0.11131;0.16925;0.26466
00221.png,1787054675.701,0.01430,-0.00916,0.19315,1,3,0.625,ok,-0.11088;0.08228;0.26306
00222.png,1787054675.903,-0.03424,0.01458,0.29088,1,3,0.667,ok,-0.11121;0.17970;0.25166
00223.png,1787054675.953,-0.02982,-0.00961,0.28139,1,3,0.667,ok,-0.11088;0.17052;0.25421
00224.png,1787054676.001,-0.02885,-0.01360,0.27866,1,3,0.667,ok,-0.11049;0.16819;0.27463
00225.png,1787054676.101,-0.03042,-0.01005,0.28337,1,3,0.688,ok,-0.11128;0.17211;0.25861
00226.png,1787054676.201,0.01218,-0.02030,0.19737,1,3,0.667,ok,-0.11088;0.08653;0.27156
00227.png,1787054676.303,-0.03138,0.02347,0.28485,1,3,0.667,ok,-0.11108;0.17385;0.24926
00228.png,1787054676.353,-0.02861,-0.00216,0.27851,1,3,0.667,ok,-0.11065;0.16786;0.24860
00229.png,1787054676.401,-0.03728,-0.00351,0.29606,1,3,0.688,ok,-0.11075;0.18531;0.26823
00230.png,1787054676.502,-0.02965,-0.00123,0.28092,1,3,0.667,ok,-0.11081;0.17011;0.27156
00231.png,1787054676.553,0.01287,-0.04027,0.19606,1,3,0.646,ok,-0.11098;0.08524;0.26041
00232.png,1787054676.601,-0.02006,-0.00737,0.25812,1,3,0.729,ok,-0.10900;0.14913;0.26147
00233.png,1787054676.652,-0.03014,-0.01496,0.28300,1,3,0.708,ok,-0.11137;0.17166;0.27064
00234.png,1787054676.701,-0.02861,-0.00870,0.27912,1,3,0.667,ok,-0.11095;0.16818;0.26106
00235.png,1787054676.751,-0.03269,-0.01385,0.28808,1,3,0.646,ok,-0.11136;0.17674;0.26041
00236.png,1787054676.851,-0.03395,-0.01476,0.29005,1,3,0.667,ok,-0.11109;0.17899;0.26180
00237.png,1787054676.901,-0.02800,0.00246,0.27839,1,3,0.688,ok,-0.11119;0.16720;0.24860
00238.png,1787054677.104,-0.03292,-0.00825,0.28870,1,3,0.646,ok,-0.11143;0.17727;0.26263
00239.png,1787054677.152,-0.02826,-0.01360,0.27848,1,3,0.688,ok,-0.11099;0.16751;0.25166
00240.png,1787054677.204,-0.02975,-0.00351,0.28214,1,3,0.688,ok,-0.11132;0.17082;0.25721
00241.png,1787054677.253,-0.03336,-0.00191,0.28786,1,3,0.646,ok,-0.11057;0.17729;0.25948
00242.png,1787054677.451,-0.03029,-0.02078,0.28326,1,3,0.688,ok,-0.11137;0.17195;0.26306
00243.png,1787054677.602,0.01502,-0.00191,0.19145,1,3,0.625,ok,-0.11075;0.08070;0.26053
00244.png,1787054677.702,-0.03221,-0.00862,0.28623,1,3,0.625,ok,-0.11091;0.17533;0.25721
00245.png,1787054677.802,-0.03127,-0.00699,0.28319,1,3,0.667,ok,-0.11032;0.17287;0.26053
00246.png,1787054677.851,-0.03039,-0.02019,0.28307,1,3,0.688,ok,-0.11117;0.17195;0.26659
00247.png,1787054677.901,-0.03279,-0.00816,0.28737,1,3,0.646,ok,-0.11090;0.17647;0.25986
00248.png,1787054677.953,-0.03100,-0.00781,0.28423,1,3,0.688,ok,-0.11112;0.17312;0.25986
