frame,stamp_s,ey_m,epsi_rad,lane_width_m,paired,n_lines,confidence,reason,line_c0_m,curvature_1pm,true_ey_m,station,s_m
000018.png,1788183970.021,-0.04109,-0.00378,0.27635,1,3,0.521,ok,-0.09708;0.17927;0.56851,0.15201,0.00000,0,
000019.png,1788183970.070,-0.04064,-0.00378,0.27725,1,3,0.500,ok,-0.09799;0.17927;0.59900,0.15094,0.00000,0,
000020.png,1788183970.121,-0.03904,-0.00378,0.26887,1,3,0.542,ok,-0.09540;0.17348;0.55961,0.14692,0.00000,0,
000021.png,1788183970.171,-0.04184,-0.00814,0.27485,1,3,0.521,ok,-0.09559;0.17927;0.61455,0.15775,0.00000,0,
000022.png,1788183970.220,-0.03894,-0.00378,0.26961,1,3,0.542,ok,-0.09587;0.17374;0.60458,0.14601,0.00000,0,
000023.png,1788183970.321,-0.04182,0.01219,0.27596,1,3,0.542,ok,-0.09617;0.17981;0.61382,0.15809,0.00000,0,
000024.png,1788183970.370,-0.04179,-0.00378,0.27706,1,3,0.521,ok,-0.09674;0.18032;0.54703,0.15921,0.00000,0,
000025.png,1788183970.420,-0.04179,-0.00378,0.27604,1,3,0.521,ok,-0.09623;0.17981;0.56412,0.15649,0.00000,0,
000026.png,1788183970.470,-0.03481,-0.00378,0.29000,1,3,0.500,ok,-0.11019;0.17981;0.60579,0.07725,0.00000,0,
000027.png,1788183970.521,-0.03293,-0.00814,0.29390,1,3,0.479,ok,-0.11402;0.17989;0.56412,0.05323,0.00000,0,
000028.png,1788183970.620,-0.03433,-0.00378,0.28988,1,3,0.500,ok,-0.11061;0.17927;0.60133,0.07380,0.00000,0,
000029.png,1788183970.670,-0.04073,-0.00378,0.27708,1,3,0.500,ok,-0.09781;0.17927;0.60579,0.15260,0.00000,0,
000030.png,1788183970.721,-0.04112,-0.00378,0.27630,1,3,0.500,ok,-0.09703;0.17927;0.54376,0.15716,0.00000,0,
000031.png,1788183970.770,-0.04132,-0.00378,0.27691,1,3,0.521,ok,-0.09713;0.17978;0.54719,0.15290,0.00000,0,
000032.png,1788183970.820,-0.03453,-0.00378,0.28964,1,3,0.500,ok,-0.11029;0.17935;0.54157,0.07519,0.00000,0,
000033.png,1788183970.921,-0.03842,-0.00378,0.27166,1,3,0.521,ok,-0.09741;0.17425;0.62177,0.14028,0.00000,0,
000034.png,1788183970.970,-0.03549,-0.00378,0.28757,1,3,0.500,ok,-0.10830;0.17927;0.64597,0.08819,0.00000,0,
000035.png,1788183971.021,-0.04171,-0.00378,0.27721,1,3,0.521,ok,-0.09689;0.18032;0.64828,0.15610,0.00000,0,
000036.png,1788183971.070,-0.03822,-0.00378,0.27051,1,3,0.521,ok,-0.09703;0.17348;0.61128,0.14480,0.00000,0,
000037.png,1788183971.170,-0.02950,-0.00378,0.28848,1,3,0.500,ok,-0.11474;0.17374;0.65149,0.03251,0.00000,0,
000038.png,1788183971.170,-0.02950,-0.00378,0.28848,1,3,0.500,ok,-0.11474;0.17374;0.65149,0.03251,0.00000,0,
000039.png,1788183971.270,-0.03701,-0.00378,0.28559,1,3,0.500,ok,-0.10579;0.17981;0.60661,0.10446,0.00000,0,
000040.png,1788183971.320,-0.04151,-0.00378,0.27551,1,3,0.521,ok,-0.09624;0.17927;0.61019,0.15671,0.00000,0,
000041.png,1788183971.370,-0.04208,-0.00378,0.27546,1,3,0.521,ok,-0.09565;0.17981;0.59753,0.16013,0.00000,0,
000042.png,1788183971.470,-0.04128,-0.00378,0.27598,1,3,0.521,ok,-0.09671;0.17927;0.39975,0.15336,0.00000,0,
000043.png,1788183971.520,-0.04208,-0.00378,0.27546,1,3,0.521,ok,-0.09565;0.17981;0.62793,0.16013,0.00000,0,
000044.png,1788183971.570,-0.04086,-0.00378,0.27682,1,3,0.500,ok,-0.09756;0.17927;0.60822,0.15591,0.00000,0,
000045.png,1788183971.620,-0.04153,0.01833,0.27543,1,3,0.542,ok,-0.09621;0.17927;0.56851,0.15614,0.00000,0,
000046.png,1788183971.670,-0.04243,-0.00378,0.27577,1,3,0.521,ok,-0.09545;0.18032;0.62155,0.16163,0.00000,0,
000047.png,1788183971.770,-0.04185,-0.00378,0.27591,1,3,0.521,ok,-0.09610;0.17981;0.61212,0.15937,0.00000,0,
000048.png,1788183971.770,-0.04185,-0.00378,0.27591,1,3,0.521,ok,-0.09610;0.17981;0.61212,0.15937,0.00000,0,
000049.png,1788183971.770,-0.04185,-0.00378,0.27591,1,3,0.521,ok,-0.09610;0.17981;0.61212,0.15937,0.00000,0,
000050.png,1788183971.970,-0.03560,-0.00378,0.28842,1,3,0.500,ok,-0.10862;0.17981;0.56859,0.08838,0.00000,0,
000051.png,1788183972.020,-0.04110,-0.00378,0.27736,1,3,0.521,ok,-0.09758;0.17978;0.56669,0.15260,0.00000,0,
000052.png,1788183972.070,-0.04266,-0.00378,0.27423,1,3,0.521,ok,-0.09445;0.17978;0.39907,0.16293,0.00000,0,
000053.png,1788183972.120,-0.04066,0.01219,0.27827,1,3,0.521,ok,-0.09848;0.17981;0.61948,0.15283,0.00000,0,
000054.png,1788183972.170,-0.04181,-0.00378,0.27492,1,3,0.521,ok,-0.09565;0.17927;0.54430,0.15584,0.00000,0,
000055.png,1788183972.270,-0.04158,-0.00378,0.27538,1,3,0.500,ok,-0.09611;0.17927;0.58127,0.15999,0.00000,0,
000056.png,1788183972.321,-0.04255,-0.00378,0.27344,1,3,0.521,ok,-0.09417;0.17927;0.61267,0.16456,0.00000,0,
000057.png,1788183972.370,-0.04199,-0.00378,0.27564,1,3,0.500,ok,-0.09583;0.17981;0.54748,0.16501,0.00000,0,
000058.png,1788183972.370,-0.04199,-0.00378,0.27564,1,3,0.500,ok,-0.09583;0.17981;0.54748,0.16501,0.00000,0,
000059.png,1788183972.520,-0.04181,-0.00378,0.27600,1,3,0.500,ok,-0.09619;0.17981;0.60484,0.16218,0.00000,0,
000060.png,1788183972.570,-0.04022,0.01011,0.27809,1,3,0.521,ok,-0.09883;0.17927;0.60307,0.15255,0.00000,0,
000061.png,1788183972.620,-0.04177,-0.00378,0.27607,1,3,0.521,ok,-0.09626;0.17981;0.56851,0.15559,0.00000,0,
000062.png,1788183972.670,-0.03508,-0.00378,0.28837,1,3,0.500,ok,-0.10910;0.17927;0.61673,0.08144,0.00000,0,
000063.png,1788183972.720,-0.04257,-0.00814,0.27446,1,3,0.521,ok,-0.09466;0.17981;0.60781,0.16518,0.00000,0,
000064.png,1788183972.770,-0.04198,-0.00378,0.27566,1,3,0.521,ok,-0.09585;0.17981;0.61713,0.15901,0.00000,0,
000065.png,1788183972.821,-0.03232,-0.00378,0.29391,1,3,0.479,ok,-0.11464;0.17927;0.54703,0.04561,0.00000,0,
000066.png,1788183972.921,-0.03481,-0.00378,0.29000,1,3,0.500,ok,-0.11019;0.17981;0.61864,0.07725,0.00000,0,
000067.png,1788183972.970,-0.03238,-0.00378,0.29485,1,3,0.458,ok,-0.11504;0.17981;0.39907,0.04436,0.00000,0,
000068.png,1788183973.021,-0.04083,-0.00378,0.27688,1,3,0.500,ok,-0.09761;0.17927;0.60130,0.15328,0.00000,0,
000069.png,1788183973.070,-0.04131,-0.00814,0.27607,1,3,0.521,ok,-0.09673;0.17935;0.39839,0.15314,0.00000,0,
000070.png,1788183973.121,-0.04115,-0.00378,0.27731,1,3,0.500,ok,-0.09750;0.17981;0.56412,0.15776,0.00000,0,
000071.png,1788183973.170,-0.03460,-0.00378,0.29041,1,3,0.500,ok,-0.11060;0.17981;0.56851,0.07613,0.00000,0,
000072.png,1788183973.220,-0.04170,-0.00378,0.27514,1,3,0.521,ok,-0.09587;0.17927;0.54495,0.15806,0.00000,0,
000073.png,1788183973.320,-0.04165,-0.00378,0.27632,1,3,0.521,ok,-0.09651;0.17981;0.39907,0.15595,0.00000,0,
000074.png,1788183973.370,-0.03476,-0.00378,0.29009,1,3,0.500,ok,-0.11028;0.17981;0.56851,0.07785,0.00000,0,
000075.png,1788183973.421,-0.04156,-0.00378,0.27644,1,3,0.521,ok,-0.09666;0.17978;0.62254,0.15412,0.00000,0,
000076.png,1788183973.470,-0.04266,-0.00378,0.27532,1,3,0.521,ok,-0.09500;0.18032;0.54942,0.16239,0.00000,0,
000077.png,1788183973.520,-0.03873,-0.00814,0.26948,1,3,0.542,ok,-0.09601;0.17348;0.56851,0.14411,0.00000,0,
000078.png,1788183973.570,-0.04168,0.01219,0.27726,1,3,0.542,ok,-0.09696;0.18032;0.56851,0.15456,0.00000,0,
000079.png,1788183973.620,-0.03258,-0.00814,0.29546,1,3,0.479,ok,-0.11515;0.18032;0.53830,0.04555,0.00000,0,
000080.png,1788183973.721,-0.04193,-0.00814,0.27574,1,3,0.521,ok,-0.09594;0.17981;0.57290,0.16017,0.00000,0,
000081.png,1788183973.770,-0.04005,-0.00378,0.26900,1,3,0.542,ok,-0.09445;0.17455;0.56412,0.15280,0.00000,0,
000082.png,1788183973.820,-0.03433,-0.00378,0.28988,1,3,0.500,ok,-0.11061;0.17927;0.60225,0.07380,0.00000,0,
000083.png,1788183973.870,-0.03418,-0.00814,0.29017,1,3,0.500,ok,-0.11091;0.17927;0.57027,0.07314,0.00000,0,
000084.png,1788183973.921,-0.04208,-0.00378,0.27546,1,3,0.521,ok,-0.09565;0.17981;0.63444,0.15968,0.00000,0,
000085.png,1788183973.970,-0.04232,-0.00814,0.27497,1,3,0.521,ok,-0.09517;0.17981;0.60195,0.16309,0.00000,0,
000086.png,1788183974.022,-0.04218,-0.00378,0.27526,1,3,0.521,ok,-0.09545;0.17981;0.61077,0.16081,0.00000,0,
000087.png,1788183974.120,-0.04177,-0.00378,0.27608,1,3,0.521,ok,-0.09627;0.17981;0.60747,0.15960,0.00000,0,
000088.png,1788183974.170,-0.04186,-0.00814,0.27589,1,3,0.521,ok,-0.09609;0.17981;0.61360,0.15942,0.00000,0,
000089.png,1788183974.220,-0.04197,-0.00378,0.27568,1,3,0.521,ok,-0.09587;0.17981;0.62597,0.15998,0.00000,0,
000090.png,1788183974.270,-0.04143,-0.00378,0.27779,1,3,0.500,ok,-0.09747;0.18032;0.57256,0.15503,0.00000,0,
000091.png,1788183974.320,-0.04227,-0.00378,0.27508,1,3,0.521,ok,-0.09527;0.17981;0.60936,0.16236,0.00000,0,
000092.png,1788183974.370,-0.04009,-0.00814,0.27227,1,3,0.521,ok,-0.09605;0.17622;0.65085,0.15108,0.00000,0,
000093.png,1788183974.422,-0.04162,-0.00378,0.27637,1,3,0.521,ok,-0.09657;0.17981;0.39907,0.15602,0.00000,0,
000094.png,1788183974.520,-0.04155,-0.00378,0.27653,1,3,0.521,ok,-0.09672;0.17981;0.60310,0.15549,0.00000,0,
000095.png,1788183974.570,-0.03920,-0.00814,0.26956,1,3,0.542,ok,-0.09559;0.17399;0.53502,0.14725,0.00000,0,
000096.png,1788183974.620,-0.03206,-0.00814,0.29441,1,3,0.479,ok,-0.11515;0.17927;0.61984,0.04280,0.00000,0,
000097.png,1788183974.670,-0.04164,-0.00378,0.27634,1,3,0.521,ok,-0.09654;0.17981;0.56851,0.15692,0.00000,0,
000098.png,1788183974.720,-0.04162,-0.00814,0.27530,1,3,0.521,ok,-0.09604;0.17927;0.60609,0.15744,0.00000,0,
000099.png,1788183974.820,-0.03911,-0.00378,0.26976,1,3,0.542,ok,-0.09577;0.17399;0.54430,0.14971,0.00000,0,
000100.png,1788183974.870,-0.03511,-0.00378,0.28934,1,3,0.500,ok,-0.10956;0.17978;0.54157,0.08086,0.00000,0,
000101.png,1788183974.920,-0.04126,-0.00814,0.27710,1,3,0.521,ok,-0.09730;0.17981;0.54495,0.15338,0.00000,0,
000102.png,1788183974.970,-0.04160,-0.00378,0.27533,1,3,0.521,ok,-0.09607;0.17927;0.53910,0.15434,0.00000,0,
000103.png,1788183975.070,-0.04159,-0.00378,0.27644,1,3,0.500,ok,-0.09664;0.17981;0.60878,0.16066,0.00000,0,
000104.png,1788183975.120,-0.04068,-0.00814,0.27825,1,3,0.500,ok,-0.09845;0.17981;0.57290,0.15258,0.00000,0,
000105.png,1788183975.170,-0.04209,-0.00378,0.27436,1,3,0.521,ok,-0.09509;0.17927;0.59490,0.16045,0.00000,0,
000106.png,1788183975.270,-0.04156,-0.00378,0.27649,1,3,0.521,ok,-0.09668;0.17981;0.60307,0.15431,0.00000,0,
000107.png,1788183975.320,-0.04180,-0.00378,0.27495,1,3,0.521,ok,-0.09568;0.17927;0.39907,0.15874,0.00000,0,
000108.png,1788183975.370,-0.03842,-0.00378,0.27011,1,3,0.542,ok,-0.09663;0.17348;0.61245,0.13997,0.00000,1,0.000
000109.png,1788183975.420,-0.04150,-0.00378,0.27553,1,3,0.521,ok,-0.09626;0.17927;0.56851,0.15367,0.00000,1,0.000
000110.png,1788183975.470,-0.03544,-0.00814,0.28872,1,3,0.500,ok,-0.10892;0.17981;0.61781,0.08731,0.00000,1,0.000
000111.png,1788183975.520,-0.03137,-0.00814,0.29203,1,3,0.479,ok,-0.11465;0.17739;0.61368,0.04272,0.00000,1,0.000
000112.png,1788183975.620,-0.03819,-0.00814,0.27221,1,3,0.521,ok,-0.09792;0.17430;0.62385,0.14168,0.00000,1,0.000
000113.png,1788183975.670,-0.04167,-0.00814,0.27628,1,3,0.521,ok,-0.09648;0.17981;0.57499,0.15503,0.00000,1,0.000
000114.png,1788183975.720,-0.03236,-0.00814,0.29381,1,3,0.479,ok,-0.11455;0.17927;0.54430,0.04681,0.00000,1,0.000
000115.png,1788183975.770,-0.04150,-0.00378,0.27553,1,3,0.521,ok,-0.09626;0.17927;0.61791,0.15367,0.00000,1,0.000
000116.png,1788183975.822,-0.04176,-0.00378,0.27610,1,3,0.521,ok,-0.09630;0.17981;0.60579,0.15870,0.00000,1,0.000
000117.png,1788183975.870,-0.04155,-0.00378,0.27543,1,3,0.521,ok,-0.09616;0.17927;0.56851,0.15966,0.00000,1,0.000
000118.png,1788183975.921,-0.03793,-0.00814,0.27109,1,3,0.521,ok,-0.09762;0.17348;0.60044,0.14375,0.00000,1,0.000
000119.png,1788183976.020,-0.04154,-0.00378,0.27654,1,3,0.521,ok,-0.09673;0.17981;0.54157,0.15625,0.00000,1,0.000
000120.png,1788183976.070,-0.04137,-0.00378,0.27579,1,3,0.521,ok,-0.09652;0.17927;0.62225,0.15425,0.00000,1,0.000
000121.png,1788183976.120,-0.03577,-0.00378,0.28701,1,3,0.500,ok,-0.10774;0.17927;0.54719,0.08939,0.00000,1,0.000
000122.png,1788183976.120,-0.03577,-0.00378,0.28701,1,3,0.500,ok,-0.10774;0.17927;0.54719,0.08939,0.00000,1,0.000
000123.png,1788183976.270,-0.04213,-0.00814,0.27428,1,3,0.521,ok,-0.09502;0.17927;0.54430,0.15977,0.00000,1,0.000
000124.png,1788183976.320,-0.04235,-0.00814,0.27491,1,3,0.521,ok,-0.09511;0.17981;0.62597,0.16487,0.00000,1,0.000
000125.png,1788183976.370,-0.03327,-0.00814,0.29307,1,3,0.479,ok,-0.11327;0.17981;0.64597,0.05724,0.00000,1,0.000
000126.png,1788183976.420,-0.04229,-0.00378,0.27503,1,3,0.521,ok,-0.09522;0.17981;0.54430,0.16141,0.00000,1,0.000
000127.png,1788183976.470,-0.04167,-0.00814,0.27628,1,3,0.521,ok,-0.09648;0.17981;0.61984,0.15503,0.00000,1,0.000
000128.png,1788183976.520,-0.03267,-0.00814,0.29318,1,3,0.479,ok,-0.11392;0.17927;0.61879,0.05270,0.00000,1,0.000
000129.png,1788183976.620,-0.04209,-0.00814,0.27537,1,3,0.521,ok,-0.09560;0.17978;0.63672,0.15879,0.00000,1,0.000
000130.png,1788183976.670,-0.04280,-0.00378,0.27395,1,3,0.521,ok,-0.09417;0.17978;0.54703,0.16539,0.00000,1,0.000
000131.png,1788183976.720,-0.04134,-0.00378,0.27694,1,3,0.521,ok,-0.09713;0.17981;0.61618,0.15400,0.00000,1,0.000
000132.png,1788183976.720,-0.04134,-0.00378,0.27694,1,3,0.521,ok,-0.09713;0.17981;0.61618,0.15400,0.00000,1,0.000
000133.png,1788183976.820,-0.04090,-0.00814,0.27780,1,3,0.521,ok,-0.09800;0.17981;0.65202,0.15156,0.00000,1,0.000
000134.png,1788183976.920,-0.04175,-0.00814,0.27612,1,3,0.521,ok,-0.09632;0.17981;0.61382,0.15882,0.00000,1,0.000
000135.png,1788183976.920,-0.04175,-0.00814,0.27612,1,3,0.521,ok,-0.09632;0.17981;0.61382,0.15882,0.00000,1,0.000
000136.png,1788183977.020,-0.04130,-0.00814,0.27803,1,3,0.500,ok,-0.09772;0.18032;0.61272,0.15803,0.00000,1,0.000
000137.png,1788183977.070,-0.04164,-0.00378,0.27634,1,3,0.521,ok,-0.09654;0.17981;0.57599,0.15692,0.00000,1,0.000
000138.png,1788183977.121,-0.04197,-0.00814,0.27567,1,3,0.521,ok,-0.09587;0.17981;0.57908,0.15913,0.00000,1,0.000
000139.png,1788183977.171,-0.04184,-0.00378,0.27588,1,3,0.521,ok,-0.09610;0.17978;0.61706,0.15636,0.00000,1,0.000
000140.png,1788183977.223,-0.04091,-0.00378,0.27612,1,3,0.521,ok,-0.09715;0.17897;0.56851,0.14928,0.00000,1,0.000
000141.png,1788183977.320,-0.04232,-0.00814,0.27513,1,3,0.521,ok,-0.09525;0.17989;0.56851,0.16379,0.00000,1,0.000
000142.png,1788183977.370,-0.04169,-0.00814,0.27555,1,3,0.521,ok,-0.09609;0.17947;0.59600,0.15862,0.00000,1,0.000
000143.png,1788183977.420,-0.03540,-0.00814,0.28880,1,3,0.500,ok,-0.10900;0.17981;0.61700,0.08341,0.00000,1,0.000
000144.png,1788183977.470,-0.04194,-0.00378,0.27574,1,3,0.521,ok,-0.09594;0.17981;0.60395,0.15789,0.00000,1,0.000
000145.png,1788183977.521,-0.04266,-0.00814,0.27546,1,3,0.521,ok,-0.09507;0.18040;0.56412,0.16340,0.00000,1,0.000
000146.png,1788183977.570,-0.04155,-0.00378,0.27652,1,3,0.521,ok,-0.09671;0.17981;0.60436,0.15528,0.00000,1,0.000
000147.png,1788183977.622,-0.03539,-0.00814,0.28882,1,3,0.500,ok,-0.10902;0.17981;0.57299,0.08751,0.00000,1,0.000
000148.png,1788183977.720,-0.03496,-0.00814,0.28968,1,3,0.500,ok,-0.10988;0.17981;0.57599,0.08047,0.00000,1,0.000
000149.png,1788183977.770,-0.04252,-0.00378,0.27560,1,3,0.521,ok,-0.09528;0.18032;0.54716,0.16185,0.00000,1,0.000
000150.png,1788183977.821,-0.03238,-0.00814,0.29485,1,3,0.479,ok,-0.11505;0.17981;0.56851,0.04577,0.00000,1,0.000
000151.png,1788183977.870,-0.03987,-0.00378,0.27057,1,3,0.542,ok,-0.09542;0.17515;0.59244,0.14767,0.00000,1,0.000
000152.png,1788183977.920,-0.04007,-0.00378,0.27840,1,3,0.500,ok,-0.09913;0.17927;0.60996,0.14606,0.00000,1,0.000
000153.png,1788183977.970,-0.03570,0.00397,0.28821,1,3,0.521,ok,-0.10840;0.17981;0.65921,0.09069,0.00000,1,0.000
000154.png,1788183978.023,-0.04121,0.00912,0.27820,1,3,0.521,ok,-0.09789;0.18032;0.65187,0.15583,0.00000,1,0.000
000155.png,1788183978.070,-0.04396,-0.00930,0.28399,1,3,0.521,ok,-0.09804;0.18596;0.60392,0.16406,0.00000,1,0.000
000156.png,1788183978.170,-0.04116,0.01219,0.27619,1,3,0.542,ok,-0.09694;0.17927;0.61553,0.15506,0.00000,1,0.000
000157.png,1788183978.220,-0.03064,-0.00930,0.28566,1,3,0.521,ok,-0.11220;0.17348;0.57036,0.05560,0.00000,1,0.000
000158.png,1788183978.270,-0.04124,0.00605,0.27606,1,3,0.542,ok,-0.09679;0.17927;0.60974,0.15494,0.00000,1,0.000
000159.png,1788183978.320,-0.04156,0.00605,0.27650,1,3,0.521,ok,-0.09669;0.17981;0.54719,0.16135,0.00000,1,0.000
000160.png,1788183978.420,-0.04097,0.00912,0.27658,1,3,0.542,ok,-0.09732;0.17927;0.61354,0.15128,0.00000,1,0.000
000161.png,1788183978.470,-0.03808,0.00912,0.27079,1,3,0.562,ok,-0.09732;0.17348;0.59600,0.13893,0.00000,1,0.000
000162.png,1788183978.520,-0.04091,0.01219,0.27778,1,3,0.521,ok,-0.09799;0.17981;0.60881,0.15668,0.00000,1,0.000
000163.png,1788183978.570,-0.03891,0.01219,0.27179,1,3,0.562,ok,-0.09700;0.17481;0.62727,0.14351,0.00000,1,0.000
000164.png,1788183978.570,-0.03891,0.01219,0.27179,1,3,0.562,ok,-0.09700;0.17481;0.62727,0.14351,0.00000,1,0.000
000165.png,1788183978.670,-0.04178,0.00912,0.27604,1,3,0.542,ok,-0.09624;0.17981;0.60487,0.15848,0.00000,1,0.000
000166.png,1788183978.721,-0.04197,-0.00378,0.27563,1,3,0.521,ok,-0.09585;0.17978;0.62124,0.15599,0.00000,1,0.000
000167.png,1788183978.820,-0.04122,0.00912,0.27717,1,3,0.542,ok,-0.09737;0.17981;0.60704,0.15389,0.00000,1,0.000
000168.png,1788183978.870,-0.03978,0.00605,0.28000,1,3,0.521,ok,-0.10022;0.17978;0.54376,0.14493,0.00000,1,0.000
000169.png,1788183978.920,-0.04047,-0.00930,0.27759,1,3,0.521,ok,-0.09834;0.17927;0.62756,0.15464,0.00000,1,0.000
000170.png,1788183978.970,-0.04167,-0.00378,0.27627,1,3,0.500,ok,-0.09646;0.17981;0.61475,0.16120,0.00000,1,0.000
000171.png,1788183979.020,-0.04097,-0.00814,0.27768,1,3,0.500,ok,-0.09788;0.17981;0.57306,0.15471,0.00000,1,0.000
000172.png,1788183979.120,-0.04106,0.00605,0.27749,1,3,0.521,ok,-0.09769;0.17981;0.62207,0.15459,0.00000,1,0.000
000173.png,1788183979.170,-0.04188,0.00605,0.27688,1,3,0.542,ok,-0.09656;0.18032;0.57433,0.15809,0.00000,1,0.000
000174.png,1788183979.220,-0.04090,-0.00930,0.27674,1,3,0.542,ok,-0.09748;0.17927;0.54489,0.15456,0.00000,1,0.000
000175.png,1788183979.220,-0.04090,-0.00930,0.27674,1,3,0.542,ok,-0.09748;0.17927;0.54489,0.15456,0.00000,1,0.000
000176.png,1788183979.370,-0.03925,0.00912,0.28004,1,3,0.500,ok,-0.10078;0.17927;0.56300,0.14731,0.00000,1,0.000
000177.png,1788183979.420,-0.04195,0.01219,0.27673,1,3,0.542,ok,-0.09643;0.18032;0.54719,0.15865,0.00000,1,0.000
000178.png,1788183979.420,-0.04195,0.01219,0.27673,1,3,0.542,ok,-0.09643;0.18032;0.54719,0.15865,0.00000,1,0.000
000179.png,1788183979.520,-0.04068,-0.00831,0.27824,1,3,0.542,ok,-0.09845;0.17981;0.62348,0.15001,0.00000,1,0.000
000180.png,1788183979.570,-0.04086,-0.00930,0.27789,1,3,0.542,ok,-0.09809;0.17981;0.57788,0.15236,0.00000,1,0.000
000181.png,1788183979.620,-0.04115,0.01219,0.27730,1,3,0.542,ok,-0.09751;0.17981;0.60936,0.15255,0.00000,1,0.000
000182.png,1788183979.721,-0.04125,-0.00814,0.27710,1,3,0.500,ok,-0.09730;0.17981;0.54440,0.15859,0.00000,1,0.000
000183.png,1788183979.770,-0.04097,-0.00930,0.27659,1,3,0.542,ok,-0.09733;0.17927;0.60622,0.15367,0.00000,1,0.000
000184.png,1788183979.820,-0.04104,0.00397,0.27753,1,3,0.542,ok,-0.09772;0.17981;0.57131,0.15297,0.00000,1,0.000
000185.png,1788183979.869,-0.04228,0.01219,0.27396,1,3,0.542,ok,-0.09471;0.17927;0.61498,0.16457,0.00000,1,0.000
000186.png,1788183979.970,-0.03699,-0.00930,0.27398,1,3,0.542,ok,-0.10000;0.17399;0.62325,0.13890,0.00000,1,0.000
000187.png,1788183980.020,-0.04009,-0.00930,0.27836,1,3,0.521,ok,-0.09910;0.17927;0.65396,0.14795,0.00000,1,0.000
000188.png,1788183980.070,-0.04099,0.00605,0.27762,1,3,0.521,ok,-0.09782;0.17981;0.60402,0.15783,0.00000,1,0.000
000189.png,1788183980.120,-0.03322,0.01011,0.29209,1,3,0.479,ok,-0.11283;0.17927;0.61684,0.05481,0.00000,1,0.000
000190.png,1788183980.170,-0.04086,-0.00930,0.27788,1,3,0.542,ok,-0.09809;0.17981;0.61994,0.15133,0.00000,1,0.000
000191.png,1788183980.270,-0.04187,-0.00378,0.27587,1,3,0.521,ok,-0.09607;0.17981;0.56851,0.15626,0.00000,1,0.000
000192.png,1788183980.320,-0.04083,0.00912,0.27794,1,3,0.521,ok,-0.09814;0.17981;0.61324,0.15206,0.00000,1,0.000
000193.png,1788183980.370,-0.04226,-0.00378,0.27510,1,3,0.521,ok,-0.09529;0.17981;0.39907,0.16124,0.00000,1,0.000
000194.png,1788183980.420,-0.04108,-0.00378,0.27747,1,3,0.500,ok,-0.09766;0.17981;0.56851,0.15527,0.00000,1,0.000
000195.png,1788183980.470,-0.03572,-0.00814,0.28816,1,3,0.500,ok,-0.10836;0.17981;0.61370,0.08852,0.00000,1,0.000
000196.png,1788183980.570,-0.03963,-0.00378,0.28036,1,3,0.479,ok,-0.10055;0.17981;0.61345,0.14981,0.00000,1,0.000
